Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,HUD,HUD drawdown # 10,submitted,Hud Drawdown,2/21/25,1,2/22/25,35830.92,249813.18
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/21/25,1,2/22/25,-6580.68,243232.50
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,2/24/25,1,2/25/25,-102145.17,141087.33
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/28/25,1,3/1/25,-6127.53,134959.80
Debt Service,Embassy,Interest,interest,Embassy,3/1/25,1,3/2/25,-2057.30,132902.50
Other,Marketing,Consulting (Website),recurring,Fresh Ink,3/1/25,1,3/2/25,-300.00,132602.50
Revenue,HUD,HUD drawdown #11,submitted ,Hud Drawdown,3/1/25,1,3/2/25,163741.65,296344.15
Occupancy,Rent,Rent,recurring,Market Flats,3/1/25,1,3/2/25,-14829.00,281515.15
Revenue,PayPal,Paypal Donations,member equity,Paypal,3/1/25,1,3/2/25,1000.00,282515.15
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/3/25,1,3/4/25,-150000.00,132515.15
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,3/4/25,1,3/5/25,-1483.00,131032.15
Debt Service,LEAF,Interest,interest,LEAF,3/5/25,1,3/6/25,-2333.33,128698.82
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/7/25,1,3/8/25,-6580.68,122118.14
Occupancy,Utilities,Electric (Estimated),recurring,PPL,3/9/25,1,3/10/25,-1100.00,121018.14
Revenue,HUD,HUD drawdown #12,"Includes Equipment, Occupancy and Salary from February",Hud Drawdown,3/10/25,1,3/11/25,292293.38,413311.52
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,3/11/25,1,3/12/25,-5500.00,407811.52
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/14/25,1,3/15/25,-5040.68,402770.84
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,3/15/25,1,3/16/25,-9826.16,392944.68
