Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/12/2025,1,3/13/2025,-100000,213154.79
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/14/2025,1,3/15/2025,-5040.68,208114.11
Debt Service,Penn,Interest,recurring,Penn,3/15/2025,1,3/16/2025,-5250,202864.11
Revenue,HUD,HUD drawdown #12,"Includes Equipment, Occupancy and Salary from February",Hud Drawdown,3/20/2025,1,3/21/2025,430319.02,633183.13
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/21/2025,1,3/22/2025,-5040.68,628142.45
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/26/2025,1,3/27/2025,-300000,328142.45
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/28/2025,1,3/29/2025,-5040.68,323101.77
Debt Service,Embassy,Interest,interest,Embassy,4/1/2025,1,4/2/2025,-2057.3,321044.47
Other,Marketing,Consulting (Website),recurring,Fresh Ink,4/1/2025,1,4/2/2025,-300,320744.47
Occupancy,Rent,Rent,recurring,Market Flats,4/1/2025,1,4/2/2025,-14829,305915.47
Revenue,PayPal,Paypal Donations,member equity,Paypal,4/1/2025,1,4/2/2025,1000,306915.47
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,4/4/2025,1,4/5/2025,-1483,305432.47
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/4/2025,1,4/5/2025,-5040.68,300391.79
Debt Service,LEAF,Interest,principal + interest,LEAF,4/5/2025,1,4/6/2025,-6037.07,294354.72
Occupancy,Utilities,Electric (Estimated),recurring,PPL,4/9/2025,1,4/10/2025,-1100,293254.72
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/11/2025,1,4/12/2025,-5040.68,288214.04
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,4/11/2025,1,4/12/2025,-5500,282714.04
Revenue,HUD,HUD drawdown #13,Includes Equipment,Hud Drawdown,4/13/2025,1,4/14/2025,400000,682714.04
Debt Service,Penn,Interest,recurring,Penn,4/15/2025,1,4/16/2025,-5250,677464.04
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/18/2025,1,4/19/2025,-5040.68,672423.36
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,4/23/2025,1,4/24/2025,-100000,572423.36
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/25/2025,1,4/26/2025,-5040.68,567382.68
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,4/30/2025,1,5/1/2025,-9826.16,557556.52
Debt Service,Embassy,Interest,interest,Embassy,5/1/2025,1,5/2/2025,-2057.3,555499.22
Other,Marketing,Consulting (Website),recurring,Fresh Ink,5/1/2025,1,5/2/2025,-300,555199.22
Occupancy,Rent,Rent,recurring,Market Flats,5/1/2025,1,5/2/2025,-14829,540370.22
Revenue,PayPal,Paypal Donations,member equity,Paypal,5/1/2025,1,5/2/2025,1000,541370.22
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/2/2025,1,5/3/2025,-5040.68,536329.54
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,5/5/2025,1,5/6/2025,-1483,534846.54
Debt Service,LEAF,Interest,principal + interest,LEAF,5/5/2025,1,5/6/2025,-6037.07,528809.47
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,5/7/2025,1,5/8/2025,-100000,428809.47
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/9/2025,1,5/10/2025,-5040.68,423768.79
Occupancy,Utilities,Electric (Estimated),recurring,PPL,5/9/2025,1,5/10/2025,-1100,422668.79
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,5/11/2025,1,5/12/2025,-5500,417168.79
Equipment,Coffee Equipment,Coffee Bar Equipment,estimate,Zepole,5/15/2025,1,5/16/2025,-18000,399168.79
Debt Service,Penn,Interest,recurring,Penn,5/15/2025,1,5/16/2025,-5250,393918.79
