Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,HUD,HUD drawdown #11,submitted ,Hud Drawdown,2/20/25,1,2/21/25,163741.65,368776.84
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,2/24/25,1,2/25/25,-102145.17,266631.67
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/28/25,1,3/1/25,-6127.53,260504.14
Debt Service,Embassy,Interest,interest,Embassy,3/1/25,1,3/2/25,-2057.3,258446.84
Other,Marketing,Consulting (Website),recurring,Fresh Ink,3/1/25,1,3/2/25,-300,258146.84
Occupancy,Rent,Rent,recurring,Market Flats,3/1/25,1,3/2/25,-14829,243317.84
Revenue,PayPal,Paypal Donations,member equity,Paypal,3/1/25,1,3/2/25,1000,244317.84
Revenue,HUD,HUD drawdown # 10,submitted,Hud Drawdown,3/3/25,1,3/4/25,35830.92,280148.76
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/3/25,1,3/4/25,-150000,130148.76
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,3/4/25,1,3/5/25,-1483,128665.76
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),Downpayment - terms and date subject to change,Decor,3/4/25,1,3/5/25,-35000,93665.76
Debt Service,LEAF,Interest,interest,LEAF,3/5/25,1,3/6/25,-2333.33,91332.43
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/7/25,1,3/8/25,-6580.68,84751.75
Occupancy,Utilities,Electric (Estimated),recurring,PPL,3/9/25,1,3/10/25,-1100,83651.75
Revenue,HUD,HUD drawdown #12,"Includes Equipment, Occupancy and Salary from February",Hud Drawdown,3/10/25,1,3/11/25,292293.38,375945.13
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,3/11/25,1,3/12/25,-5500,370445.13
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/14/25,1,3/15/25,-5040.68,365404.45
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,3/15/25,1,3/16/25,-9826.16,355578.29
Debt Service,Penn,Interest,recurring,Penn,3/15/25,1,3/16/25,-5250,350328.29
Equipment,Aperion,Electronic Tag System,This bill was generated but never delivered,Aperion,3/21/25,1,3/22/25,-15383.3,334944.99
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/21/25,1,3/22/25,-5040.68,329904.31
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/28/25,1,3/29/25,-5040.68,324863.63
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,3/30/25,1,3/31/25,-32991.7,291871.93
Debt Service,Embassy,Interest,interest,Embassy,4/1/25,1,4/2/25,-2057.3,289814.63
Other,Marketing,Consulting (Website),recurring,Fresh Ink,4/1/25,1,4/2/25,-300,289514.63
Occupancy,Rent,Rent,recurring,Market Flats,4/1/25,1,4/2/25,-14829,274685.63
Revenue,PayPal,Paypal Donations,member equity,Paypal,4/1/25,1,4/2/25,1000,275685.63
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,4/4/25,1,4/5/25,-1483,274202.63
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/4/25,1,4/5/25,-5040.68,269161.95
Debt Service,LEAF,Interest,principal + interest,LEAF,4/5/25,1,4/6/25,-6037.07,263124.88
Occupancy,Utilities,Electric (Estimated),recurring,PPL,4/9/25,1,4/10/25,-1100,262024.88
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/11/25,1,4/12/25,-5040.68,256984.20
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,4/11/25,1,4/12/25,-5500,251484.20
