Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,HUD,HUD drawdown #11,submitted ,Hud Drawdown,2/20/2025,1,2/21/2025,163741.65,368776.84
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,2/24/2025,1,2/25/2025,-102145.17,266631.67
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/28/2025,1,3/1/2025,-6127.53,260504.14
Debt Service,Embassy,Interest,interest,Embassy,3/1/2025,1,3/2/2025,-2057.3,258446.84
Other,Marketing,Consulting (Website),recurring,Fresh Ink,3/1/2025,1,3/2/2025,-300,258146.84
Occupancy,Rent,Rent,recurring,Market Flats,3/1/2025,1,3/2/2025,-14829,243317.84
Revenue,PayPal,Paypal Donations,member equity,Paypal,3/1/2025,1,3/2/2025,1000,244317.84
Revenue,HUD,HUD drawdown # 10,submitted,Hud Drawdown,3/3/2025,1,3/4/2025,35830.92,280148.76
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/3/2025,1,3/4/2025,-150000,130148.76
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,3/4/2025,1,3/5/2025,-1483,128665.76
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),Downpayment - terms and date subject to change,Decor,3/4/2025,1,3/5/2025,-35000,93665.76
Debt Service,LEAF,Interest,interest,LEAF,3/5/2025,1,3/6/2025,-2333.33,91332.43
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/7/2025,1,3/8/2025,-6580.68,84751.75
Occupancy,Utilities,Electric (Estimated),recurring,PPL,3/9/2025,1,3/10/2025,-1100,83651.75
Revenue,HUD,HUD drawdown #12,"Includes Equipment, Occupancy and Salary from February",Hud Drawdown,3/10/2025,1,3/11/2025,292293.38,375945.13
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,3/11/2025,1,3/12/2025,-5500,370445.13
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/14/2025,1,3/15/2025,-5040.68,365404.45
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,3/15/2025,1,3/16/2025,-9826.16,355578.29
Debt Service,Penn,Interest,recurring,Penn,3/15/2025,1,3/16/2025,-5250,350328.29
Equipment,Aperion,Electronic Tag System,This bill was generated but never delivered,Aperion,3/21/2025,1,3/22/2025,-15383.3,334944.99
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/21/2025,1,3/22/2025,-5040.68,329904.31
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/28/2025,1,3/29/2025,-5040.68,324863.63
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,3/30/2025,1,3/31/2025,-32991.7,291871.93
Debt Service,Embassy,Interest,interest,Embassy,4/1/2025,1,4/2/2025,-2057.3,289814.63
Other,Marketing,Consulting (Website),recurring,Fresh Ink,4/1/2025,1,4/2/2025,-300,289514.63
Occupancy,Rent,Rent,recurring,Market Flats,4/1/2025,1,4/2/2025,-14829,274685.63
Revenue,PayPal,Paypal Donations,member equity,Paypal,4/1/2025,1,4/2/2025,1000,275685.63
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,4/4/2025,1,4/5/2025,-1483,274202.63
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/4/2025,1,4/5/2025,-5040.68,269161.95
Debt Service,LEAF,Interest,principal + interest,LEAF,4/5/2025,1,4/6/2025,-6037.07,263124.88
Occupancy,Utilities,Electric (Estimated),recurring,PPL,4/9/2025,1,4/10/2025,-1100,262024.88
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/11/2025,1,4/12/2025,-5040.68,256984.20
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,4/11/2025,1,4/12/2025,-5500,251484.20
Equipment,Zepole,Equipment Sales Order,current payment plan - need to renegotiate,Zepole,4/14/2025,1,4/15/2025,-315181.45,-63697.25
Revenue,HUD,HUD drawdown #13,"Includes Equipment, Occupancy and Salary from March",Hud Drawdown,4/15/2025,1,4/16/2025,210597.34,146900.09
Debt Service,Penn,Interest,recurring,Penn,4/15/2025,1,4/16/2025,-5250,141650.09
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/18/2025,1,4/19/2025,-5040.68,136609.41
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/25/2025,1,4/26/2025,-5040.68,131568.73
Debt Service,Embassy,Interest,interest,Embassy,5/1/2025,1,5/2/2025,-2057.3,129511.43
Other,Marketing,Consulting (Website),recurring,Fresh Ink,5/1/2025,1,5/2/2025,-300,129211.43
Occupancy,Rent,Rent,recurring,Market Flats,5/1/2025,1,5/2/2025,-14829,114382.43
Revenue,PayPal,Paypal Donations,member equity,Paypal,5/1/2025,1,5/2/2025,1000,115382.43
Equipment,Coffee Equipment,Coffee Bar Equipment,estimate,Zepole,5/1/2025,1,5/2/2025,-18000,97382.43
Supplies & Materials,Small Wares,Kitchen Small Wares,estimate,Zepole,5/1/2025,1,5/2/2025,-18000,79382.43
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/2/2025,1,5/3/2025,-5040.68,74341.75
Revenue,HUD,HUD drawdown #14,Includes Occupancy From April + May,Hud Drawdown,5/3/2025,1,5/4/2025,89829,164170.75
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,5/5/2025,1,5/6/2025,-1483,162687.75
Debt Service,LEAF,Interest,principal + interest,LEAF,5/5/2025,1,5/6/2025,-6037.07,156650.68
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/9/2025,1,5/10/2025,-5040.68,151610.00
Occupancy,Utilities,Electric (Estimated),recurring,PPL,5/9/2025,1,5/10/2025,-1100,150510.00
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,5/11/2025,1,5/12/2025,-5500,145010.00
Debt Service,Penn,Interest,recurring,Penn,5/15/2025,1,5/16/2025,-5250,139760.00
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/16/2025,1,5/17/2025,-5040.68,134719.32
