Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,Balance,Current Operating balance,includes Penn + embassy accounts,BCM,2/13/25,1,2/14/25,213982.26,213982.26
Revenue,HUD,HUD drawdown # 10,submitted,HUD drawdown,2/21/25,1,2/22/25,35830.92,249813.18
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/21/25,1,2/22/25,-6580.68,243232.50
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,2/24/25,1,2/25/25,-102145.17,141087.33
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),2/28/25,1,3/1/25,-6127.53,134959.80
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,3/1/25,1,3/2/25,-150000.00,-15040.20
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,3/1/25,1,3/2/25,-1483.00,-16523.20
Debt Service,Embassy,Interest,interest,Embassy,3/1/25,1,3/2/25,-2057.30,-18580.50
Debt Service,LEAF,Interest,interest,LEAF,3/1/25,1,3/2/25,-2333.33,-20913.83
Occupancy,Rent,Rent,recurring,Market Flats,3/1/25,1,3/2/25,-14829.00,-35742.83
Revenue,PayPal,Paypal Donations,member equity,Paypal,3/1/25,1,3/2/25,1000.00,-34742.83
Debt Service,Penn,Interest,recurring,Penn,3/1/25,1,3/2/25,-5250.00,-39992.83
Occupancy,Utilities,Electric (Estimated),recurring,PPL,3/1/25,1,3/2/25,-1100.00,-41092.83
Other,Marketing,Consulting (Website),recurring,Fresh Ink,3/1/25,1,3/2/25,-300.00,-41392.83
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,3/1/25,1,3/2/25,-5500.00,-46892.83
Revenue,HUD,HUD drawdown #11,submitted ,Hud Drawdown,3/1/25,1,3/2/25,163741.65,116848.82
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/7/25,1,3/8/25,-6580.68,110268.14
Revenue,HUD,HUD drawdown #12,"Includes Equipment, Occupancy and Salary from February",HUD drawdown,3/10/25,1,3/11/25,292293.38,402561.52
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/14/25,1,3/15/25,-5040.68,397520.84
