Category,Subcategory,Description,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,Balance,Current Operating balance,BCM,2/4/2025,1,2/5/2025,233428.64,233428.64
Revenue,PayPal,Paypal Donations,Paypal,2/5/2025,1,2/6/2025,920.98,234349.62
Debt Service,Embassy,Interest,Embassy,2/7/2025,1,2/8/2025,-2057.3,232292.32
Revenue,HUD,HUD drawdown # 10,HUD drawdown,2/7/2025,1,2/8/2025,35830.92,268123.24
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/7/2025,1,2/8/2025,-6580.68,261542.56
Equipment,Aperion,Electronic Tag System,Aperion,2/7/2025,1,2/8/2025,-15383.3,246159.26
Other,Marketing,50% due on delivery store sign,Reed Sign,2/7/2025,1,2/8/2025,-11684.91,234474.35
Occupancy,Utilities,Electric (Estimated),PPL,2/10/2025,1,2/11/2025,-1100,233374.35
Other,Marketing,Consulting (Website),Fresh Ink,2/10/2025,1,2/11/2025,-300,233074.35
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/14/2025,1,2/15/2025,-6580.68,226493.67
Revenue,HUD,HUD drawdown #11,Hud Drawdown,2/21/2025,1,2/22/2025,461562.33,688056
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/21/2025,1,2/22/2025,-6580.68,681475.32
Equipment,Zepole,Equipment Sales Order,Zepole,2/24/2025,1,2/25/2025,-252145.16,429330.16
Construction,Low Voltage,Low Voltage Install,Micro Innovation,2/27/2025,1,2/1/2025,-9826.16,419504
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/28/2025,1,3/1/2025,-6127.53,413376.47
Occupancy,Insurance,Insurance,Cincinnati Insurance,3/1/2025,1,3/2/2025,-1483,411893.47
Debt Service,Embassy,Interest,Embassy,3/1/2025,1,3/2/2025,-2057.3,409836.17
Debt Service,LEAF,Interest,LEAF,3/1/2025,1,3/2/2025,-2333.33,407502.84
Debt Service,LEAF,Loan Balance Payment,LEAF,3/1/2025,1,3/2/2025,-402333.33,5169.51
Occupancy,Rent,Rent,Market Flats,3/1/2025,1,3/2/2025,-14829,-9659.49
Revenue,PayPal,Paypal Donations,Paypal,3/1/2025,1,3/2/2025,1000,-8659.49
Debt Service,Penn,Interest,Penn,3/1/2025,1,3/2/2025,-5250,-13909.49
